,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
Hybrid Nanoplatelets as Metal-free Electrocatalysts for Fuel Cells,Energy,Rice University,"November 16, 2014","December 21, 2015",proposal,,"1) Facile and inexpensive synthesis from cheap, abundant raw materials


2) Hybrid material amenable to inclusion of other heteroatom dopants


3) GQD edge functionalization leads to enhanced catalytic performance


4) Conductive graphene sheets serve as platform for uniform distribution of GQD",,Energy > Fuel cells,,
Hybrid Nanowire-Optical Fiber Dye-Sensitized Solar Cell Based on a Stacked Ribbon and Interdigitated Electrode Configuration,Energy,Georgia Tech Research Corp,"December 15, 2015","December 15, 2015",proposal,,Improved solar conversion efficiency,,Energy > Solar,,
Hybrid Photocatalysts based on Nanoclays for Water Purification,Farming and Forestry,Danish Patent and Trademark Office,"November 26, 2014","November 26, 2014",proposal,,"Most of the currently applied photo catalysts are based on low molecular organic compounds, which are toxic and difficult to be removed from the photo reaction environment. Also, they often cannot be used in an aqueous environment, because of their insolubility. In comparison the key features of the hybrid photocatalysts, that are the subject of the presented offer, are
as follows:
1) they can be used in an aqueous environment
2) they are based on non-toxic natural minerals (kaolinite, bentonite, mica, talc, which are layered nanoclays)
3) at the same time they are capable of purifying water in a physical absorption process as well as in a photodegradation process, therefore they combine the advantages of the photochemical and the adsorption method of water purification
4) they self-separate from water in the sedimentation process, so that they can be easly removed by filtration or decantation
5) their photochemical components may be chromophores of natural origin (e.g. porphyrin derivatives)

Hybrid photocatalysts based on layered nanoclays can become an attractive alternative method of water purification, particulary suitable for industrial plants using water in their technological process, e.g. in power, steel, chemical, pharmaceutial or foodprocessing plants. Moreover, they can be tailored for specific applications (pollutants).",,Farming & Forestry > Alternative irrigation,Under R & D,"The application of the hybrid photocatalysts and the method of obtaining them are subject of a patent application. The research and development efforts concerning this technology are continued at the Faculty of Chemistry of the Jagiellonian University. Currently the Centre for Innovations, Technology Transfer and University Development (CITTRU) is looking for companies and institutions interested in obtaining a license for the material and its applications described above."
Hybrid Solar Biofuel Cells,Energy,NewSouth Innovations Pty Ltd,"December 15, 2015","December 15, 2015",proposal,,"• Improved electron transfer efficiency and power output 


• Can lead to more efficient biosensors and other devices",,Energy > Solar,,
Hybrid Space Vector PWM Schemes for Interleaved Three-Phase Converters,Energy,Arizona Tech Enterprises (AzTE),"December 15, 2015","December 15, 2015",proposal,,"1) Greatly reduced total harmonic distortion – typical   reduction of about 40% with max reduction of 67%   


2) Significantly reduced filter size   


3) Reduced switching losses   


4) Reduced losses in the AC filter capacitor",,Energy > Energy distribution,,
Hybrid Water heating for commercial usage,Energy,Ministry of Economy,"December 22, 2015","December 22, 2015",proposal,Electricity,"1. High efficiency

2. Determines lowest cost method for heat production at any time",Device or equipment,Energy > Thermal,Proven record of commercial use,Proven record of commercial use
Hybrid energy harvestor,Energy,Louisiana Tech University,"November 24, 2015","December 22, 2015",proposal,,"1) Hybrid energy harvesting, not limited to one source of energy. Can continue to operate in absence of light if thermal or vibration energy (wind) is available 


2) Scalable power output. Power output from several micro-Watts to tens of milli-Watts is feasible with arrayed micro-devices


3) Piezoelectric. No voltage bias is needed and the generator works with no external power


4) Light weight. The generator weighs only several grams 


5) Low cost and ecological. One single microscale device is in the range of a few cents but the cost can be reduced further through economies of scale 


6) Named to Ecofriend.org’s Top 10 Renewable Energy Technology Breakthroughs in 2010 (http://www.ecofriend.org/entry/10-breakthroughs-in-renewable-energy-technology-in-2010) ",,Energy > Energy generation (Others),,
Hybrid rice variety,Farming and Forestry,UNOSSC,"July 31, 2014","July 31, 2014",proposal,"Water, Land","-Resistant to pests.
-High yield.",Material,Farming & Forestry > Soil improvement,,
Hydraulic control valves and control systems for water resources management,Green Products,Ministry of Economy,"December 12, 2015","December 12, 2015",proposal,Other,"Valves mainly help in regulating pressures flow-rate in water systems, controlling air flow into and out of water filled systems, attenuation and prevention of water-hammer/surge risks.",Device or equipment,Green Products > Other,Proven record of commercial use,Proven record of commercial use
"Hydraulic drive for sheet metal forming machine-has two differential cylinders for press pistons, suction oil pump and delivery oil pump for cylinder halves",Energy,Eco-Patent Commons,"March 09, 2015","March 09, 2015",proposal,Oil,Energy recovery from oil flow in hydraulic systems ,Device or equipment,Energy > Energy generation (Others),,
Hydro Electric Power using in-pipe turbines.,Energy,Kenya Climate Innovation Center,"February 04, 2016","February 04, 2016",needed,,,,Energy > Hydro,,
Hydrodynamic Cavitation Reactor,Energy,TechnologieAllianz e. V.,"April 01, 2015","April 02, 2015",proposal,Other,Simultaneously conserving energy with less expenditure on equipment while gaining high process adaptability ,Process,Energy > Waste to energy,Under R & D,
Hydrofluorocarbon Refrigerant Compositions and Uses Thereof,Chemicals and Advanced Materials,Eco-Patent Commons,"March 09, 2015","March 09, 2015",proposal,Air,Provides novel refrigedant compositions and heat transfer fluids that provide unique characteristics to meet the demands of low or zero ozone depletion potential and lower global warming potential as compared to current refrigerants. ,Process,Chemicals & Advanced Materials > Other,,
Hydrogels for Water Purification and More,Water,Wisconsin Alumni Research Foundation (WARF),"March 17, 2017","March 17, 2017",proposal,,"1. Robust swelling/deswelling properties

2. Tunable",,"Water > Water treatment
Water > Water production",,
Hydrogen Peroxide Sensing Electrode,Water,"University of California, San Diego (UC San Diego)","November 30, 2015","November 30, 2015",proposal,,"1) Economical


2) Does not produce harmful by-products",,"Pollution & Waste > Water
Water > Water treatment",,
Hydrogen Polymer for Efficient Storage and Transport of Hydrogen Gas,Energy,New Mexico State University,"November 30, 2015","November 30, 2015",proposal,,"1) Adaptable to current technologies


2) Ease of production and application


3) Cost effective


4) Ability to stretch and increase containment area",,Energy > Energy storage,,
Hydrogen Production by a Novel Thermochemical Water Splitting Cycle,Energy,"University of California, Los Angeles (UCLA)","November 30, 2015","November 30, 2015",proposal,,"1) Does not produce harmful by-products


2) Less cost",,Energy > Energy generation (Others),,
Hydrogen Release from Thermolysis of Ammonia Borane,Energy,Purdue Research Foundation,"December 15, 2015","December 15, 2015",proposal,,"1) Effective heat management


2) High hydrogen yield


3) Rapid reaction speed


4) Little byproduct formation",,Energy > Energy generation (Others),,
Hydrogen Storage Materials and Method for Hydrogen Generation,Energy,National University of Singapore,"December 15, 2015","December 15, 2015",proposal,,Highly efficient hydrogen releasing technique for hydrogen fuel system,,"Energy > Energy generation (Others)
Energy > Energy storage",,
Hydrogen sensors and switches and methods of fabrication,Energy,University of Louisville,"December 15, 2015","December 15, 2015",proposal,,"1) Simple to construct in a highly parallel fashion with a 100% success rate. 


2) Electrodeposition process eliminates the need for the multistep process involving synthesis, assembly, and contact formation common in electronic-based nano-sensing devices. 


3) High sensitivity for hydrogen detection (down to 0.11%) via an increase in resistance 


4) Acts as a hydrogen switch with a seven-order of magnitude increase in current above 1.0% 


5) Low cost mass-production can be achieved due to simple construction 


6) Low power consumption (battery operation) 


7) Fast response, reproducibility, and stability ",,Energy > Energy generation (Others),,
"Hydrogen, Liquid Lithium Battery/Fuel Cell with Electrolysis Mode",Energy,Montana State University,"December 15, 2015","December 15, 2015",proposal,,"•Liquid Li reduces electrode poisoning problems caused by components of fuel gas.


•Increased power due to increased reaction sites across the anode.


•Estimated performance at 0.5 V at peak power and .5 W/cm2 – 1 W/cm2.",,"Energy > Energy storage
Energy > Fuel cells",,
Hydrogen-Treated Semiconductor Metal Oxides For Photoelectrochemical Water Splitting,Water,"University of California, Santa Cruz (UCSC)","April 06, 2017","April 06, 2017",proposal,,Substantially enhanced photocurrent densities and the photocurrents saturated at a very low applied bias.,,Water > Water production,,
Hydroponics System for barley fodder,Farming and Forestry,Kenya Climate Innovation Center,"November 26, 2015","November 26, 2015",needed,,,,Farming & Forestry > Food production,,
HâOleum - Stable Water/Diesel Micro-emulsions 95 % Reduction of Particulate Matter,Transportation,TechnologieAllianz e. V.,"April 02, 2015","April 02, 2015",proposal,Air,H2Oleum significantly saves surfactant and the water/fuel ratio can be freely varied.,Process,Transportation > Maritime/Waterways,Under R & D,
"I-III-VI2 Photovoltaic Absorber Layers With Improved Manufacturing and/or Device Performance by Incorporation of AG, AU, TL, or TE",Energy,University of Delaware,"December 15, 2015","December 15, 2015",proposal,,"1) The invention allows the achievement of higher photovoltaic  conversion efficiency via higher open-circuit voltage, short-circuit current,  and fill factor. 


2) It may also be  utilized to lower substrate  processing temperatures in the manufacture of solar power modules, thereby more  readily allowing the use of substrates such as plastic films, which have  advantages over other substrates such as metal foils and glass.


3) It further potentially enables other  manufacturing techniques which so far have not proven successful.",,Energy > Solar,,
IMPROVED INTERNAL COMBUSTION ENGINE,Energy,VILAGE BRAZIL INTELLECTUAL PROPERTY,"November 14, 2014","November 14, 2014",proposal,"Oil, Other","An improved internal combustion engine essentially consists of an engine that necessarily includes an intake duct (D), an intake valve (V), an air injector (I) and an exhaust valve (V1). The invention is characterised in that it comprises two basic versions of the same concept, which is that of using a crankshaft (1) with three crankpins (2/11) for each cylinder (3). The crankpins (2) of the same cylinder (3) are offset at an angle in relation to each other, allowing a main piston (4) and a central piston (5) to be actuated. The main chamber (4) is located between the main piston (4) and the central piston (5), while the central piston chamber (4) is located inside the central piston (5) and a central pre-chamber (4) is located in the cylinder.",Device or equipment,Energy > Energy generation (Others),Proven record of commercial use,
IMPROVED METHOD FOR PRODUCING BIODIESEL FROM NATURAL AND RECYCLED VEGETABLE OILS,Energy,Bioprocessors New Generation,"January 08, 2016","October 13, 2016",proposal,Oil,"produce second generation biodiesel
generates less waste
lower cost of production
It does not emit greenhouse gases
low power consumption",Process,Energy > Waste to energy,Under R & D,"We have designed a laboratory scale prototype which has carried out a comparative research project.
Currently there built a prototype 60% full"
IMPROVED WICKED STOVES,Energy,East Africa Climate Innovation Network (EACIN),"November 27, 2013","November 27, 2013",proposal,Other,"Different technology that reduces pollution from  29 percent down to 8 percent , saves fuel usage by 35 percent,operates 24 hours without exposure, can be repaired while in use.",Device or equipment,Energy > Energy efficiency,At usable level,
IMPROVEMENT APPLIED IN SOLAR SHOWER.,Energy,VILAGE BRAZIL INTELLECTUAL PROPERTY,"November 14, 2014","November 14, 2014",proposal,Water,"IMPROVEMENT APPLIED IN SOLAR SHOWER CONSISTS OF A SHOWER MONOBLOCK BODY MADE OF ROTOMOULDING FROM POLYETHYLENE MATERIAL, THAT COMPRISES A CONTAINER, WHICH IN INFERIOR PART A BASE THAT CONTINUES TO THE SUPERIOR PART FUNNELED, WHICH ON TOP HAS A TUBE ENGAGED IN THE SPREADER, THE MONOBLOCK BODY IN INTERNAL PART IT IS GIFTED BY HYDRAULIC PIPES WHICH IN INFERIOR PART IT HAS THE PIPE ENTRY, WITH ANTI-RETURN VALVE, CONNECTION TO COLD WATER NETWORK, SUPERIOIR HEIGHT IN POSITIONING OF MONOBLOCK BODY IT PRESENTS THE HOT WATER NETWORK. ANOTHER FEATURE OF MONOBLOCK BODY IS IN INFERIOR PART, GENERATED BY A BASE THAT ALLOWS SHOWER SOLAR AFTER HAVING ITS TANK EMPTY, IT CAN BE TAKEN TO SEVERAL ENVIRONMENTS WITHOUT THE NEED OF FIXING.",Device or equipment,Energy > Solar,Proven record of commercial use,
INNOVATION OF COLOR CHANGES ROOFS FROM MATTRESS SCRAPS,Pollution and Waste,"Richy(2016) Co.,Ltd.","July 03, 2015","July 11, 2015",proposal,Electricity,"Community Benefits
Not only our change colors roofs can reduce the amount of energy needed to moderate the temperature of a building, but also 
Moderation of Urban Heat Island Effect
Can reduce demand on power plants to avoid the blackout, and potentially decrease the amount of CO2 and other polluting by-products being released into the air.
The growth of our market gives new job opportunities related to collecting the mattress scraps, increasing investment opportunity, manufacturing, increasing plant growth, design.","Process, Design, Material",Pollution & Waste > Recycling & reuse,At usable level,"Green and Eco Concept Color Changes Roofs by solving mattress spring scraps, Agriculture waste problems by the flammable and combustible of plastic roofs(soybean)and no black mold stains(Bio-Extracts) and the problems of the old style roofs with the Asbestos and synthetic fiber for the insulation which harm for the communities. When cold, the roof absorb the heat and UV, letting the darker color. When it gets hot, the roof is the heat-reflecting surface. To reduce their farm market risk, their wage rates are lower and labor leaves agriculture in search of higher income in the cities, this may help economic support for them."
INTERLOCKING CEMENT SAVING BRICKS.,Energy,East Africa Climate Innovation Network (EACIN),"November 27, 2013","November 27, 2013",proposal,Other,Cheap and does not require use of cement  during binding since they are interlocking.,Process,Energy > Energy storage,,
Identification and Uses of Iron and other divalent cations transporters,Farming and Forestry,Dartmouth College,"November 30, 2015","November 30, 2015",proposal,,"This discovery may be useful in engineering transgenic plants which can serve as nutritional supplements to treat iron or zinc deficiency, or remove pollutants from soil.",,Farming & Forestry > Food production,,
Identification of miRNAs that control Sucrose Content of Sweet Sorghum to Increase Bioethanol Production,Energy,Rutgers University,"December 03, 2015","December 03, 2015",proposal,,"1) These respective miRNAs can regulate different target genes for carbohydrate metabolism and flowering time at the post-transcriptional level.


2) Higher sucrose content is a prized biofuel trait as it increases the production of bioethanol, a major source of renewable energy.


3) More economical biofuel option.",,Energy > Biomass/Bioenergy,,
Identify opportunities to expand the use of Solar Heat for Industrial Processes,Energy,King Abdullah City for Atomic and Renewable Energy,"October 29, 2017","October 30, 2017",needed,,,,Energy > Solar,,
"Illuminated emergency exit sign, for a building, has a multi-colored display panel and LEDs for the lighting with a smoke detector and control circuit and flashing light control with a battery power supply",Energy,Eco-Patent Commons,"March 09, 2015","March 09, 2015",proposal,Electricity,"The assembly gives a high light intensity with a low energy consumption, saving electrical power from power plant or battery ",Device or equipment,Energy > Energy efficiency,,
Image Forming Device,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,Other,Device encourages the user to recycle cartridges and reduce natural resource consumption and cartridges can be made into new refreshable parts in a variety ways. ,Device or equipment,Pollution & Waste > Recycling & reuse,,
Immobilized Dithiol Chelators for Removal of Soft Metals,Water,University of Missouri St Louis,"March 10, 2017","March 10, 2017",proposal,,Efficient recycling and disposal,,"Water > Water treatment
Pollution & Waste > Waste disposal",,
Improve Fuel Cell Lifespan with New Membrane Layer,Transportation,University of Central Florida,"June 29, 2016","June 29, 2016",proposal,,"Advantages:

1. Longer fuel cell lifespan",,"Transportation > Electric/ Hybrid vehicles
Energy > Fuel cells",,
Improved Algal Lipid Extraction,Energy,Louisiana State University & A&M College,"May 10, 2017","May 10, 2017",proposal,,"This method can be used with any kind of microalgae, and it is particularly useful for those with thick cell walls. It an be used on wet algal pastes, eliminating the drying step required by conventional techniques. Unlike conventional techniques that require large amounts of solvents, high temperature, and agitation or pressure to extract the lipids or pigments, the process uses only a small amount of solvent and energy, and it has a higher lipid recovery rate. It has been demonstrated to increase the efficiency of lipid extraction by 30 - 50 percent.",,Energy > Biomass/Bioenergy,,
Improved Bioremediation of Soils Contaminated with Toxic Metals Using Transgenic Plants Overexpressing Phytochelatan Synthetase,Pollution and Waste,"University of California, San Diego (UC San Diego)","November 30, 2015","November 30, 2015",proposal,,This method of bioremediation is of particular use in removing heavy metals and certain radioactive metals that could be associated with industrial  or nuclear mishap contamination of wide areas. Bioremediation systems using plants are often restricted to certain species -- this approach allows the combining of the most suitable plant for the task/environment with over expression of the high-capacity metal uptake transporter.,,"Pollution & Waste > Bio-remediation
Pollution & Waste > Land",,
Improved Cathodes for Microbial Fuel Cells,Pollution and Waste,Arizona Tech Enterprises (AzTE),"December 28, 2015","December 28, 2015",proposal,,"1) Increased cathode performance


2) Faster OH- transport from cathode to bulk electrolyte


3) Allows for closer to neutral pH at cathode


4) Decreased potential losses


5) Increased scalability of MFCs",,"Pollution & Waste > Waste treatment
Pollution & Waste > Water",,
Improved Condensation Technology,Energy,"University of California, Berkeley (UC Berkeley)","November 30, 2015","November 30, 2015",proposal,,"1) Practical and scalable technique


2) High thermal conductivity


3) Enhanced condensation heat transfer",,Energy > Other,,
Improved Design for Multi-Effect Distillation (MED),Water,Qatar Foundation,"August 30, 2017","August 30, 2017",proposal,,"1. Economical: Costs less than existing MED equipment while reducing heat transfer area (CAPEX) and dry zones in the evaporator (OPEX)

2. Up to 70% smaller footprint: Eliminates the need for a demister and vapor box between effects

3. Up to 50% more efficient: Avoids breakdown of fill liquid around tubes and provides uniform vapor distribution, consuming less energy

4. Simple and reliable: Offers easy and low-maintenance continuous operation with minimum supervision and without the need to pretreat seawater

5. Noncorrosive: Operates at a low temperature (",,Water > Water production,,
Improved Destruction of Chlorinated Compounds in Soil and Groundwater,Pollution and Waste,Auburn University,"November 25, 2015","November 25, 2015",proposal,,"1) Reduces costs by enabling in situ treatment and by decreasing time and materials needed

2) Uses an inexpensive and environmentally friendly stabilizer

3) Prevents detectable formation of toxic intermediates

4) Prevents aggregation of nanoparticles, allowing for in situ use",,"Pollution & Waste > Waste treatment
Pollution & Waste > Other",,
Improved Electrocatalysts for Fuel Cells and Electrolysis,Energy,Wisconsin Alumni Research Foundation (WARF),"December 15, 2015","December 15, 2015",proposal,,"1) Materials are available and low cost


2) Improves efficiency by reducing overpotential requirements",,Energy > Fuel cells,,
Improved Electrochemical Double-Layer Capacitor Using Organosilicon Electrolytes,Energy,Wisconsin Alumni Research Foundation (WARF),"December 15, 2015","December 15, 2015",proposal,,"1) Capable of stable and efficient operation at a wide range of voltages, including voltages higher than 2.7 V


2) Can be fabricated as an all-solid-state device, enabling cost-effective, high speed and high volume industrial production


3) Electrolytes and electrodes are easy to make, can be synthesized in high yields from available and inexpensive starting materials and are stable during storage and processing.


4) Electrodes can be fabricated using a patterned array of carbon nanofibers to eliminate the need for a separator, potentially simplifying construction of the supercapacitors.


5) alternatively, an ion-conducting organosilicon material could be used as a separator.


6) Electrolytes have


7) High room temperature ionic conductivity, providing lower resistance


8) High thermal and electrochemical stability, enabling higher operating voltages and temperatures


9) Low volatility, toxicity and flammability, providing enhanced safety and performance


10) Less hydrophilicity as compared to conventional electrolytes, providing increased compatibility with electrodes and separators",,Energy > Energy storage,,
Improved Engine Carburetion with Porous Walled Fuel Tube,Transportation,Wisconsin Alumni Research Foundation (WARF),"December 15, 2015","December 15, 2015",proposal,,"1) Generates a foam-like mixture of fuel and air    


2) Enables fuel to be broken into a distribution of small droplets   


3) Decreases cycle-to-cycle variation    


4) Improves combustion efficiency    


5) Reduces emissions",,"Transportation > Road
Energy > Energy efficiency",,
Improved Exfiltration Apparatus,Pollution and Waste,Ohio University,"November 30, 2015","November 30, 2015",proposal,,"The technology provides a number of benefits over existing exfiltration techniques:


1) High flexibility in terms of physical configuration; permitting alterations in device size, fabrication of the base from one or several pieces, provisioning of a sealing element, use of an number of filtering layers and use of a range of filtering materials to meet specific cost or functional requirements.


2) Enhances the cost effectiveness of the highway drainage system by reducing the requirement of drainage trenches being replaced or cracked open due to clogging. Also, maintenance costs are lowered significantly.


3) Reduces damage to the drainage mechanism by providing sufficient strength to withstand heavy traffic conditions. (ease of maintenance)


4) Eliminates any requirement of having to dig the roadside for cleaning and replacing of the filtration device due to its modular de-attachable construction.",,Pollution & Waste > Other,,
Improved Fluid Distribution System for Bioreactor Landfills,Pollution and Waste,Michigan State University,"November 24, 2015","November 24, 2015",proposal,,"Benefits:  -Allows continued use of active landfill. Installation in actively used landfills is possible without interruption. Enables uniform distribution of fluid - Uniform distribution of the fluid into the underlying waste or contaminated area, through the permeable   layer.   -Avoids Dry Zone Formation - Avoids development of dry zones that can lead to differential settlement of waste that can result in greater landfill cap maintenance costs.   Allows for improved draining of liquids - Draining of injected and re-circulated fluids avoids potential flooding of the gas collection systems and possible system leakage from the landfill side slopes.   -Enables varying degree of saturation - Saturation of the permeable layer is based upon the rate, duration and frequency of liquid dosing cycle. This allows accelerated decomposition and increased settlement of waste resulting in an improved airspace gain.   Increased collection of commercially valuable gasses - Allows for acceleration in the generation of landfill gas through improved decomposition, resulting in a potential for higher available gasses for use in gas-to-energy systems.Applications: The technology could be used for uniform injection of waste treatment fluid into a solid waste bioreactor landfill to increase efficiency of operation of the site. The technology could be particularly useful for enhanced collection of landfill gas for use in gas-to-energy systems, for remediation of contaminated landfill sites through more effective removal of contaminants and in addressing problematic landfill situations such as the formation of dry wells and seepagae from landfill slopes.",,Pollution & Waste > Waste disposal,,
Improved Hydrothermal Stability of Oxides With Carbon Coatings,Energy,STC UNM,"December 15, 2015","December 15, 2015",proposal,,Less susceptible to degradation.,,Energy > Biomass/Bioenergy,,
Improved Lead-Based Eutectic Composite,Energy,Northwestern University,"June 29, 2016","June 29, 2016",proposal,,"Benefits:

1. Improved thermoelectric performance

2. Increased mechanical integrity",,"Energy > Energy efficiency
Energy > Waste heat recovery",,
Improved Media Access Protocol For Wireless Sensor Networks,Energy,"University of California, Berkeley (UC Berkeley)","December 15, 2015","December 15, 2015",proposal,,"1) Power efficiency resulting in long battery life times


2) Real-time delay guarantee


3) Congestion control


4) Data fairness",,Energy > Energy efficiency,,
Improved Method for Converting Biomass into Levulinic Acid for Renewable Fuel Sources,Energy,Wisconsin Alumni Research Foundation (WARF),"December 15, 2015","December 15, 2015",proposal,,"1) Improves levulinic acid yield by reducing the amount of furfural in the reaction mixture, which also reduces the amount of humins formed during levulinic acid  production


2) Levulinic acid can be further upgraded to fuels and commodity chemicals.",,Energy > Biomass/Bioenergy,,
Improved Optical Waveguide,Pollution and Waste,Wisconsin Alumni Research Foundation (WARF),"December 15, 2015","December 15, 2015",proposal,,"1) Requires fewer light sources, reducing the cost of UV light generation


2) Evenly distributes the activated catalyst throughout the reactor volume


3) Efficiently captures diffuse light such as sunlight or light from a fluorescent lamp for photocatalysis, biological or chemical sensing or increasing the efficiency of a photovoltaic cell


4) Smaller light intensity gradient than conventional photoreactors that are activated by direct illumination",,"Energy > Solar
Pollution & Waste > Waste treatment",,
"Improved Passive, ProximityBased, Wireless Sensor for AC Electric Current",Green Products,"University of California, Berkeley (UC Berkeley)","November 03, 2016","November 03, 2016",proposal,,- Doesn\'t require encircling or galvanic contact with energized conductors;- Operates at ultra-low power (far lower than comparable technologies);- Rejects noise from ambient mechanical vibration;,,Green Products > Products that save water/energy,,
Improved Photovoltaic Efficiency In Semiconducting Polymer/fullerene Solar Cells Through Control Of Fullerene Self-assembly And Stacking,Energy,"University of California, Los Angeles (UCLA)","December 15, 2015","December 15, 2015",proposal,,"1) Allows precise control over the morphology of the blended active layer


2) Solution-based processing method with associated manufacturing cost advantages


3) Compatible with other efficiency improving process",,"Energy > Solar
Energy > Energy efficiency",,
Improved Pod Shattering and Controlled Seed Release Properties,Farming and Forestry,"University of California, San Diego (UC San Diego)","November 30, 2015","November 30, 2015",proposal,,"Faster, more efficient seed harvesting will result from controlling seed-pod shattering. The technology has advantage both for direct seed products such as oilseeds, and for seeds to be used for propagation.",,Farming & Forestry > Food production,,
Improved Process For Chalcopyrite Leaching,Pollution and Waste,"University of California, Berkeley (UC Berkeley)","November 25, 2015","November 25, 2015",proposal,,"1) Does not require elevated temperature/pressure

2) No toxic gases produced

3) As a pretreatment, can improve the efficiency of oxidative leaching processes",,"Pollution & Waste > Water
Pollution & Waste > Land",,
Improved Processes Production of Lower Cloud Point Biodiesel,Energy,Michigan State University,"December 02, 2015","December 02, 2015",proposal,,"(1) Improved Cloud Point Properties: Lowers cloud point 5-7 degrees C, decreasing the amount of additives that need to be added to prevent clouding in cold weather.   


(2) Improved Processing: Method utilizes solid acids facilitating   processing.   


(3) Enhanced Conversion: Method converts residual triglycerides to alkyl esters of fatty acids.",,Energy > Biomass/Bioenergy,,
Improved Rankine Solar Heat and Power Generation,Energy,"University of California, Berkeley (UC Berkeley)","December 15, 2015","December 15, 2015",proposal,,"1) Improved efficiency     


2) Improved cost effectiveness     


3) Simple, low cost design  ",,"Energy > Solar
Energy > Energy efficiency",,
Improved Saccharification Efficiency by Inhibiting a Xylosyltransferase,Energy,"University of California, Davis (UC Davis)","November 17, 2014","December 21, 2015",proposal,,"1) Pathway to more efficient saccharification in bioenergy plants


2) Increases soluble sugar extraction compared to wild type plants",,Energy > Biomass/Bioenergy,,
Improved Succinate Production using Genetically Engineered E. coli,Farming and Forestry,Rice University,"November 25, 2015","November 25, 2015",proposal,,"1) Sucrose-based production operates independently of fluctuating oil prices

2) Method produces high yields with few byproducts

3) Method is environmentally friendly compared to current petrochemical-based production",,"Farming & Forestry > Food processing
Chemicals & Advanced Materials > Packaging materials & fabric",,
Improved Titanium Dioxide Photocatalysts for Highly Efficient Removal of TOC from Wastewater,Pollution and Waste,National University of Singapore,"November 25, 2015","November 25, 2015",proposal,,"Advantages:


1) 5x faster than existing commercially available benchmark photocatalysts


2) Simple application method


3) Easy regeneration


4) Save $1.3million annually for a semiconductor factory with 3000 m3 wastewater disposal


Benefits:


By applying this technology to the brackish waste, additional 137,000 cubic meters of clean water can be produced daily for a 5-million population city. When this technology is applied to a semiconductor factory with 3000 m3 of wastewater disposed daily, cost savings is $5,490 daily and $1.3 million per year.",,Pollution & Waste > Water,,
Improved Wireless Networked Lighting Interface,Energy,"University of California, Berkeley (UC Berkeley)","December 15, 2015","December 15, 2015",proposal,,"1) Low costs installation of advanced smart lighting control systems into legacy buildings


2) Self-configuring, wireless communication between luminaires and control systems",,"Energy > Smart grid
Building & Construction > Buildings",,
Improved apparatus for high vacuum groundwater extraction,Water,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,"Land, Water",Removes contaminants in both the liquid stream and soil gases through a single well casing.,Process,"Pollution & Waste > Water
Water > Water production",,
Improved battery to overcome power cut,Energy,Ethiopia Climate innovation Center,"August 30, 2016","August 30, 2016",needed,,,,Energy > Energy efficiency,,
Improved energy saving jiko,Energy,East Africa Climate Innovation Network (EACIN),"November 18, 2013","June 10, 2014",proposal,Electricity,It uses less fuel and retains a lot of heat.,,Energy > Energy efficiency,,
Improved precipitation process for producing perovskite-based solar cells,Energy,Monash University,"April 21, 2017","April 21, 2017",proposal,,Solar cells that can efficiently covert solar energy into electricity ,,Energy > Solar,,
Improved process and apparatus for groundwater extraction using a high vacuum process,Water,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,"Water, Land","Disclosed is a process for removing contaminants from a contaminated area of the ground having a vadose zone (16) and a water table (18). The process comprises providing a borehole (42) in the contaminated area; placing in the borehole a perforated riser pipe (44) inside of which is situated a vacuum extraction pipe (30) with an opening situated near, at, or at any point below the water table within the perforated riser pipe; while introducing a gas into the riser pipe, applying a vacuum to the vacuum extraction pipe to draw gases and liquid from the soil into the perforated riser pipe and from the riser pipe into the vacuum extraction pipe and transport both the gases and the liquid to the surface as a common stream; forming from the common stream a stream which is primarily liquid and a stream which is primarily gaseous; and separately treating the separated liquid and gas streams.; Also disclosed is an apparatus for carrying out the process.",Process,"Pollution & Waste > Water
Water > Water production",,
Improved process and apparatus for high vacuum groundwater extraction,Water,Eco-Patent Commons,"March 10, 2015","December 28, 2015",proposal,"Water, Land",Removes contaminants in both the liquid stream and soil gases through a single well casing.,,"Water > Water production
Pollution & Waste > Water",,
"Improved, Scalable, Optical Particle/Molecule Detector System by Solid State Energy Sources",Pollution and Waste,Brown University,"November 30, 2015","November 30, 2015",proposal,,Identify and quantify biological/environmental contaminants. ,,Pollution & Waste > Other,,
Improvement of Biomass and Grain Yield in Crop Plants,Energy,Virginia Tech Intellectual Properties Inc,"December 15, 2015","December 15, 2015",proposal,,"1) Increased biomass


2) Increased water use efficiency


3) Abiotic stress tolerance",,Energy > Biomass/Bioenergy,,
Improvement of Wastewater treatment facilities,Pollution and Waste,WIPO GREEN Team,"October 06, 2015","October 06, 2015",needed,,,,Pollution & Waste > Waste treatment,,
