window,By,country,contact_email,contact_employer,patent_info,implementation,intellectual_property_type,keywords,market_prospect,cooperation_type,contact_person,contact_organization,contact_organization_type,description,published,region,secondary_field,technology_readiness_level,contact_phone,sector,title,meta_base_url,meta_organization,meta_category,meta_collected_date
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Purdue University researchers have developed Hotseat, a social networking-powered mobile Web application. Hotseat creates a collaborative classroom, allowing students to provide near real-time feedback during class and enabling professors to adjust the course content and improve the learning experience. Students can post messages to Hotseat using their Facebook or Twitter accounts, sending text messages, or logging in to the Hotseat website.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Hotseat – Mobile Web Application that Enables Student Collaboration with Popular Social Media Sites,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Researchers at Purdue University have developed a web tool, called Mixable, to extend student connections beyond the classroom and better enable them to share information. The foundation of Mixable is class-based sharing, allowing students to share audio, images, links, files, and more. Students could connect with their enrolled classes to share audio lectures, form custom study groups, and much more.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Mixable – Social Learning Application,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,Researchers at Purdue University have developed software for use with commercially available 3D joysticks that would remove these limitations and allow the joystick to be used effectively though movement of the joystick alone. Eliminating the need for extraneous controls makes the device accessible to users with limited hand functioning and simplifies the user experience.,2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Two Methods of Software Control for a 3-D Joystick,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Researchers at Purdue University have developed an alternative to these approaches by creating a plugin for CATIA that allows text to be quickly added to a design. The plugin uses fonts from the user’s computer to transform input text into splines and polylines within a sketch. The program is able to use any font installed on the local machine to generate text, adding a lot of flexibility to the text created.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Three-Dimensional Text Creation Plug-in for CATIA V5,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Researchers at Purdue have developed a web-based meal planning tool specifically designed for patients with cardiovascular disease. The tool consults a number of sources to gather nutritional information and presents it visually using a magnet metaphor. The magnet metaphor is an information visualization system that aims to help people better understand relatively large, multivariate data sets. In this application, it helps patients with cardiovascular disease consider a number of dietary factors simultaneously to make good decisions in their meal planning. This program also has the potential to be adapted to accommodate other diseases and associated diets.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Food for the Heart – A Web-based Meal Planning Tool for Patients with Cardiovascular Disease,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"This toolkit allows users to define new touchless gestures and load them into GRT compatible applications without having to do any programming. The toolkit is intended for use with a Microsoft Kinect, but the library's design, which just requires 3-dimensional vectors, can be easily ported to support nearly any other motion capture technology.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Gesture Recognition Toolkit,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Purdue researchers have developed a method of encapsulating biofilms in a thin, flexible,biocompatible silica membrane. Encapsulated membrane-bound cells within treated biofilms are viable, retain their morphology, are meta-",2014.11.01,,Biotechnology,Not Available,+86 10 82696139-812,Health Care,Synthetic Generation of a Micro-patterned Silica Shell for Tissue Encapsulation,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"It is an innovation which enables utilization of large quantities of waste as a healthy animal feed. It can reduce costs by 
using the waste after the processing of fruit and vegetables. Laboratory tests have confirmed that protein which is produced in this way has a positive effect on animal feed. They seek any company which has a problem with waste from vegetables or fruits for cooperation.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Animal feed production technology from a fruit and vegetable waste,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"System was developed and tested mostly to use at big farms having a lot of different agro- equipment to help in management, monitoring and optimization of all operations. The System allows for significant reduction of administration. Innovative Aspects:- Automatic registration of production processes at the farm, Reduction of administration work performed by farmers,
- Monitoring of the entire production chain, Online information about the machine's activity, location and other machine specific data, Device can be provided with a system of support for the tractor's driver e.g. GPS. Type of partner sought: industry (automation), agriculture, agriculture organizations, food producers.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,New system for unmanned registration of production processes at farms,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"It ensures improving the quality of planting stock (seed potatoes), increasing their intactness and productivity after winter storing. It is implemented due to a special design of the conveyor that ensures uniform processing of tubers, and optimal modes of irradiation.The main advantages of the UV and ozone processing of seed potatoes are the ecological safety, low power consumption and cost effectiveness. Requested cooperation: Engineering, Technical consultancy, Quality control, Joint further development, Transfer of knowledge in new raw materials Specific area of activity of the partner: production of environmentally safe potatoes; production of high-quality planting stock (seed potatoes).",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Installation for a combined ultra-violet and ozone processing of potatoes,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"Microbiological preparation for improving poultry health.. The preparation contains specially selected saprophytic bacterial strains that i.e. normalise perturbations of bowel micro flora, has preventative action in case of serious poultry diarrhoea diseases, and reduces the frequency of antibiotics therapy. They seek producers and wholesalers of preparations used for ecological agriculture; traditional and ecological farms for cooperation.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Microbiological preparation for improving poultry health,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,This technology works for optimization of plants nutrition and agriculture economy along with remarkable contribution to environment protection by minimizing the contamination of soil and underground water. Consumption of irrigation water and fertilizers is reduced by an average of 50%-70% respectively. Yield and quality of agriculture produce is remarkably improved. Soil and underground water contamination is reduced by an average of 70%. Type of partner sought: Advanced agriculture farms Technical service providers to back new implementation of the technology. Marketing and communications service providers. Financial institutions.,2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,CIP - ECO-Innovation Seeking partners for an international Implementation of Innovative Plant Nutrition Technology,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"The advantages include the highest yields, generating revenues as soon as the operation starts, lower production costs, optimal use of resources, highly-automated and computerized advanced growing systems, cost-effective localisation of production - fresh, microbiologically clean, pesticide-free plants with extended shelf-life. Specific area of activity of the partner: Growers / Producers / Marketers / Distributors of agricultural products. Task to be performed: joint venture with implementing / adapting to new needs, markets / marketing / distributing the solutions offered.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,"Innovative Hydroponics Growing Solutions for Cost-Effective Production of Lettuce, Green Leafy Vegetables and Herbs",,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"Based on the measurement of chlorophyll fluorescence (evaluation based on colour)，the technique applies to portable devices for in-field detection and to on-line post-harvest sensors for fruit control and sorting. Requested Cooperation: Assembly, Engineering, Technical consultancy, Joint further development, Testing of new applications, Adaptation to specific needs.  Type of partner sought: Fruit producers, olive oil or wine producers wishing to characterise their products with a new quality index. Specific area of activity of the partner: Horticultural science; post-harvest physiology; bio spectroscopy. Commercial fruit growing; olive oil and wine production; agro-food industry. Post-harvest machinery; agro-food industry. Task to be performed by the partner sought: Give competence in optimising the method to control specific products; Supply product samples to test the method and related devices.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Non-invasive optical method for the assessment of fruit maturity,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"The effective use of autonomous machines like this could create a financial advantage especially in countries with large agricultural areas. This technology is applicable especially in forest shaft and agriculture or in car industry. Type of partner sought: industry or research organization. Specific area of activity of the partner:-user, manufacturer of agricultural machines such as tractors and car industry.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Duplication of Work in Simple Time - Electronic Drawbar for Agricultural Machines,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"The new plant protection products focused on the control and elimination of pests in agriculture based on natural chemicals which are made of organic compounds that act as 'target'. Thus, the selectivity with which these phytotoxic compounds operate, allows a herbicide to attack directly the pests without the risk of harming other living beings around. Type of partner sought: agriculture companies.Specific area of activity of the partner: Agriculture, forestry and health.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,New ecological herbicides based on natural substances,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,The device is capable of relocating well developed plants to enable machinery circulation in the cropping fields and improves watering efficiency. The device is especially indicated for industry tomato fields.,2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Device for plant repositioning in horticultural cropping fields,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"The disc infiltrometre is highly autonomous and able to measure directly the values of infiltration rate. The equipment could be adapted to do several simultaneous measurements at different points or to do long time measurements at the same point. Specific area of activity of the partner: Agriculture, soil hydrology. Companies of soil characterisation equipment and precision agriculture.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,System to determine hydraulic conductivity and soil sorptivity,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"An Israeli SME has developed a detached substrate cultivation system of growing plants where plants are grown in special containers and water/fertilizer are delivered by special funnels in amounts determined/controlled by the plants themselves. No field levelling is needed. The system can be installed even on a slope. Field proven results demonstrate significantly higher yields and costs savings of more than 50% of water + fertilizer than present methods. Specific area of activity of the partner: Farming enterprises, companies dealing in agricultural equipment.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Innovative system for growing flowers and vegetables which saves water and fertilizers by more than 50% and significantly increases yield,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"Applied for cultivation of wheat, canola, potatoes, beans, corn, forage grasses, fruits and berries, medicinal, spicy, aromatic, ether, decorative plants, the technologies provide a 50-110% increase in the productivity of these crops. Type of partner sought: R&D, government agencies, farms, consultancies. Specific area of activity of the partner: Agrobusiness or plant biology or ecology and protection of environment.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,Optimized technologies for cultivating crops adapted for various edaphic-climatic zone,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Galliard Lockings Associates,Overseas Company/Agency,"The new technology for manufacturing a new bio fungicide has a dual effect protection of plants from diseases and plant growth stimulation. The new product, in comparison to analogues, is environmentally safe, non-expensive, it excludes pathogen resistance. Type of partner sought: Companies, Research Institutes. Specific area of activity of the partner: Agro-industrial/agricultural areas.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,New bio fungicide technology,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Qmedia,Overseas Company/Agency,"Utilize technology and food to create connections between distance groups.Leverage the dinner party as a social platform; foster a meaningful connection between remotely located groups in a technology mediated social event.Overcome the heartbreak of technology latency to feel that we are together.Escape the tyranny of our physical location and dine together telematically to share ideas and bridge culture difference over food, the greatest mediator. These types of technologies are developed with the eye toward business usages, PowerPoint presentations and the like. The dinner party approach is to look at how these emerging technologies can be utilized to create integrated interactions between remote groups, from family and friends to conferences.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Mobile Telematic Dinner Parties,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Qmedia,Overseas Company/Agency,"This research project has developed an Augmented Reality display that can be viewed from every angle around the exhibit. The initial demonstration exhibit contains a real life piece of tubing, (painted with luminous paint to help visualise the effect on video), with a virtual white spaceship flying around and through it. Unlike other volumetric displays, the spaceship has the appearance of flying behind the real life content and up inside it without being superimposed on top of it",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Comniview,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United Kingdom,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Qmedia,Overseas Company/Agency,The proposed Automatic Music Production System uses state-of-the-art signal processing and intelligent system design to create a high quality mix from multiple audio channels. The unique selling point is the ability to make a professional grade mixed output from a group of independent inputs without any manual intervention. This degree of automation is simply not present on existing audio workstations and mixing consoles.,2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Automatic Music Production System,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Japan,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Yawata mining  joint-stock company,Overseas Company/Agency,"A synthetical inorganic feed for livestocks. It can: Improves digestion, absorption and growth of the livestock; prevents dysentery, chronic gastroenteritis and other diseases like infertility and ketosis etc; Promotes meat and milk quality.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,A kind of inorganic livestock feed,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Japan,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Yawata mining  joint-stock company,Overseas Company/Agency,"A synthetical inorganic feed for livestocks. It can: Improves digestion, absorption and growth of the livestock; prevents dysentery, chronic gastroenteritis and other diseases like infertility and ketosis etc; Promotes meat and milk quality.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,A kind of inorganic livestock feed,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Japan,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Yawata mining  joint-stock company,Overseas Company/Agency,"A synthetical inorganic feed for livestocks. It can: Improves digestion, absorption and growth of the livestock; prevents dysentery, chronic gastroenteritis and other diseases like infertility and ketosis etc; Promotes meat and milk quality.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,A kind of inorganic livestock feed,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Japan,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Yawata mining  joint-stock company,Overseas Company/Agency,"A synthetical inorganic feed for livestocks. It can: Improves digestion, absorption and growth of the livestock; prevents dysentery, chronic gastroenteritis and other diseases like infertility and ketosis etc; Promotes meat and milk quality.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,A kind of inorganic livestock feed,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Japan,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Yawata mining  joint-stock company,Overseas Company/Agency,"The organic fertilizer can improve bad condition of the soil by promoting the microbial proliferation; it also promotes blooming and fructification; prevents continuous cropping and other obstacles like lodging, pest, drought and frost damage, etc.",2014.11.01,,Bio-agriculture,Not Available,+86 10 82696139-812,Agriculture,A kind of organic fertilizer,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"An Italian SME produces a patented and CE marked wireless medical device that enables remote monitoring, particularly for patients who present hypertension or cardiovascular pathologies. It is possible to monitor multiple physiological parameters such as body temperature and heart rate. This device contributes to a reduction of costs in the healthcare sector while improves the overall quality of life for its users. Market applications are diagnostic services, diagnostic test products and equipment. The company is looking for partners to develop the technology abroad. Type of collaboration sought：Assembly，Engineering，Technical consultancy，Maintenance，and Quality control.",2014.11.01,,Biotechnology,Not Available,+86 10 82696139-812,Health Care,Wireless medical device to monitor physiological parameters,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"An innovation company from Russia has developed a hardware and software solution for round-the-clock remote biomonitoring of vital systems and physical activity of a human body. The solution is scaleable due to capability for expanding measurement parameters through connecting new peripheral modules. Market applications are medical/health, diagnostic services, medical imaging, diagnostic test products and equipment, monitoring equipment. Type of partner sought: R&D institutions, clinics, companies making biomonitoring systems, and companies developing software for biomonitoring systems.",2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Scaleable hardware and software solution for remote biomonitoring of vital systems and physical activity of a human body,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"An academic R&D institute has developed technology for designing and building efficient sensor networks. The technology provides tools for building sensor covering that accounts spatial features and structure of areas with minimum costs and energy consumption. Market applications are components testing equipment, monitoring equipment, industrial measurement and sensing equipment. Type of partner sought: R&D institutes, companies and enterprises which maintain, develop and/make wireless sensor networks.",2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Technology for Designing and Building Efficient Sensor Networks,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"An IT company from Russia has developed and patents a technology for search of identical and similar images by a pattern in large arrays of images stored on hard disks of personal computers and in databases of corporate and global networks. Compactness and multifunctionality of indexes allows to perform multitask search in billions of images with controlled accuracy. Market applications are data processing, analysis and input services, databases and on-line information services, database and file management and applications software.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,A system for search of images in large arrays of images stored in personal computers and in databases of corporate and global communication networks,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"A Russian SME from Obhninsk, Kaluga reg., develops methods for calculation of dose distributions from neutron beams and software for creation of human phantom basing on tomography data, in order to calculate dose distribution in the real patient’s body, including 2d and 3d visualization of the obtained data. This approach ensures a high accuracy of calculation of a physical model and allows planning operations on the basis of these data. Market applications are medical/health, diagnostic, medical imaging, CAT scanning and nuclear imaging. Type of partner sought: R&D institutes, universities, and medical institutions.",2014.11.01,,Biotechnology,Not Available,+86 10 82696139-812,Health Care,Mathematical model and software for calculation of neutron beam dose distribution in a patient’s body,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"A small business company from Saratov oblast has developed a technology for manufacturing high tenacity composites using synthesized nanopowders as target additives. These composites can be applied in producing devices for mechanical engineering, aircraft and automobile engineering industries. Market applications are fibre-reinforced (plastic) composites, other specialty materials motor vehicles, transportation equipment and parts.",2014.11.01,,Chemical,Not Available,+86 10 82696139-812,New Materials,TECHNOLOGY FOR MANUFACTURING HIGH TENACITY COMPOSITES USING TARGET NANOPOWDER ADDITIVES,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"A company from Nizhni Novgorod has developed a device for generation, receiving and digital processing of wideband and ultra-wideband signals. This hardware platform may be used as a data processing module in various equipment for several areas (medicine, communications, measuring equipment, etc.).",2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Development of a Multifunctional Ultra-Wideband Hardware Platform for Digital Signal Processing,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Russian Federation,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,RTTN;RuBIN,Overseas Company/Agency,"The small enterprise from Nizhny Novgorod has developed a tool set of link-level and system-level software simulators for the 4th generation communication systems in accordance with 3GPP LTE standard (Release 8 – 10). The usage of high performance computing systems is supported by the simulators. Market applications are network test, monitoring and support equipment, mobile communications, pagers and cellular radio,etc.",2014.11.01,,Next Generation Internet,Not Available,+86 10 82696139-812,IT,Development of software for simulation of the 4th generation LTE mobile communication system,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,Purdue Researchers have developed a method to help reduce the very costly and structive testing that is associated with fatigue life prediction.,2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,A Method for Modeling and Predicting Fatigue Life for Contact Loading Such as in Bearings,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Inventors at Purdue University have created a heat pump system that is a practical application of the Ericsson cycle.The system is scalable and can be used for refrigeration, comfort cooling, and heating. Cryogenic applications are also possible.",2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Ericsson Cycle Heat Pump,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,Researchers at Purdue University have developed a heat pump system that both operates at a relatively higher efficiency and at lower cost. This multistage heat pump can utilize two separate methods of heat transfer.,2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Residential heat pump with Two-Stage Compression,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,Researchers at Purdue University have invented a method for laser assisted micro machining which prevents any subsurface damage. The process can be used on both conductive and nonconductive materials.,2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Laser Assisted Micro Machining Method and Device,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,"Researchers at Purdue University have developed an innovative method for modifying the structure of corn storage protein, zein, so that it resembles wheat gluten. This particular protein enables gluten-free breads to retain carbon dioxide in the yeast fermentation process, allowing it to rise and attain volumes typical of wheat breads.",2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Leavened Products Made From,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,Purdue University,Overseas Company/Agency,Researchers at Purdue University have developed an omnidirectional electromagnetic wave concentrator and absorber with nearly perfect absorption for essentially all angles over a broad bandwidth.,2014.11.01,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Broadband Omnidirectional Light Absorber and Concentrator,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Israel,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,"Yeda Research&Development Co.,Ltd",Overseas Company/Agency,An innovative process of CO2 to Liquid Fuels production from renewable energy (and other energy) sources by conversion of CO2 to CO in electrolysis of molten lithium carbonate. Series of successful test results (lab scale) approved the feasibility of the innovative technology.,2014.11.01,,Biomass,Not Available,+86 10 82696139-812,Life Sciences and New Energy,Synthetic Fuels by Electrolytic CO2 Recycling,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Israel,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,"Yeda Research&Development Co.,Ltd",Overseas Company/Agency,"A diatoms, zero valent iron and catalyst based solution. It can treat heavy metals in underground water such as Cr6+ . It is a generic & stand alone treatment process.",2014.11.01,,Energy Efficiency Building,Not Available,+86 10 82696139-812,Building Construction,Water Treatment Heavy Metal Contamination Solution,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Israel,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,"Yeda Research&Development Co.,Ltd",Overseas Company/Agency,"A technology for treating agro chemicals and significantly reducing the chemical’s contaminating effect on ground water. The technology is based on adding green materials to Agro Chemicals materials in the manufacturing process. When the agro chemicals are dissolved into the ground and reach the anaerobic environment, the process starts and treats the agrochemical materials before reaching the underground water.",2014.11.01,,Chemical,Not Available,+86 10 82696139-812,New Materials,Water Treatment Solution Agro Chemical Solution,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Israel,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,"Yeda Research&Development Co.,Ltd",Overseas Company/Agency,A new catalyst materials that effectively degrade/transform water contaminants under oxidizing conditions. Nanomaterial's based process which achieves full or partial degradation of some “difficult” compounds that cannot be degraded by existing methods. It does not require the use of membrane technologies that physically strain the contaminants (much more expensive and often impractical for industrial effluents) nor a strong light source (needed when using some catalysts).It can be applied as a part of the water treatment process.,2014.11.01,,Chemical,Not Available,+86 10 82696139-812,New Materials,Water Treatment Solution,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,Israel,cpp@chinatis.com,CITTC,,,Not Provided,,,Other Mode,Caopanpan,"Yeda Research&Development Co.,Ltd",Overseas Company/Agency,A non-invasive DNA based early detection diagnostic test to identify individuals with increased risk of lung cancer. The outlined technology is a simple blood test termed OGGA . The OGGA test may also be applied to other forms of cancers such as squamous cell carcinoma of the head and neck.,2014.11.01,,Biotechnology,Not Available,+86 10 82696139-812,Health Care,A Non-invasive Diagnostic Test / Cancer Predisposition,,CITTC,offer,11/09/2017 19:01:59
